wavelet_transformed_variance;wavelet_transformed_skewness;wavelet_transformed_curtosis;image_entropy;counterfeit
1.5077;1.9596;-3.0584;-0.12243;1
-1.4572;9.1214;1.7425;-5.1241;0
-1.9966;-9.5001;9.682;-0.12889;1
2.8261;9.4007;-3.3034;-1.0509;0
0.64215;3.1287;4.2933;0.64696;0
-3.0265;-0.062088;0.68604;-0.055186;1
0.57461;10.1105;-1.6917;-4.3922;0
-3.5798;0.45937;2.3457;-0.45734;1
-2.659;-1.6058;1.3647;0.16464;1
2.4226;-4.5752;5.947;0.21507;0
1.6406;3.5488;1.3964;-0.36424;0
3.7831;10.0526;-3.8869;-3.7366;0
-2.3629;-0.10554;1.9336;1.1358;1
3.9382;0.9291;0.78543;0.6767;0
-4.8392;6.6755;-0.24278;-6.5775;1
5.0452;3.8964;-1.4304;0.86291;0
4.8851;1.5995;-0.00029081;1.6401;0
3.7731;7.2073;-1.6814;-0.94742;0
4.1654;-3.4495;3.643;1.0879;0
2.6799;3.1349;0.34073;0.58489;0
4.0296;2.6756;0.80685;0.71679;0
5.8862;5.8747;-2.8167;-0.30087;0
1.6426;3.0149;0.22849;-0.147;0
1.7875;4.78;-5.1362;-3.2362;1
3.946;6.8514;-1.5443;-0.5582;0
1.8238;-6.7748;8.3873;-0.54139;0
0.86736;5.5643;1.6765;-0.16769;0
-0.539;-5.167;3.4399;0.052141;1
-0.60975;-4.002;1.8471;0.6017;1
-2.9662;-10.3257;8.784;-2.1138;1
-2.2677;3.2964;-2.2563;-2.4642;1
0.50813;0.47799;-1.9804;0.57714;1
5.2868;3.257;-1.3721;1.1668;0
-1.6001;-9.5828;9.4044;0.081882;1
-2.1652;3.0211;-2.4132;-2.4241;1
1.3562;3.2136;4.3465;0.78662;0
5.4188;10.1457;-4.084;-3.6991;0
2.0139;6.1416;0.37929;0.56938;0
4.0102;10.6568;-4.1388;-5.0646;0
-2.4941;3.5447;-1.3721;-2.8483;1
2.8033;9.0862;-3.3668;-1.0224;0
4.3064;8.2068;-2.7824;-1.4336;0
2.6606;3.1681;1.9619;0.18662;0
5.1129;-0.49871;0.62863;1.1189;0
-0.88728;2.808;-3.1432;-1.2035;1
-0.62684;-6.301;4.7843;1.106;1
-2.2173;1.4671;-0.72689;-1.1724;1
-1.2667;2.8183;-2.426;-1.8862;1
-2.6989;12.1984;0.67661;-8.5482;0
